Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"R37"	"R0603"	"153.8mm"	"70.74mm"	"153.8mm"	"70.74mm"	"153.04mm"	"70.74mm"	"T"	"0"	"1K"
"R38"	"R0603"	"157.61mm"	"66.55mm"	"157.61mm"	"66.55mm"	"157.61mm"	"67.3mm"	"T"	"270"	"1K"
"R39"	"R0603"	"157.61mm"	"49.91mm"	"157.61mm"	"49.91mm"	"157.61mm"	"50.66mm"	"T"	"270"	"1K"
"R40"	"R0603"	"153.8mm"	"54.1mm"	"153.8mm"	"54.1mm"	"153.04mm"	"54.1mm"	"T"	"0"	"1K"
"R41"	"R0603"	"157.61mm"	"33.27mm"	"157.61mm"	"33.27mm"	"157.61mm"	"34.03mm"	"T"	"270"	"1K"
"R42"	"R0603"	"153.8mm"	"37.47mm"	"153.8mm"	"37.47mm"	"153.04mm"	"37.47mm"	"T"	"0"	"1K"
"R43"	"R0603"	"157.61mm"	"16.51mm"	"157.61mm"	"16.51mm"	"157.61mm"	"17.26mm"	"T"	"270"	"1K"
"R44"	"R0603"	"153.8mm"	"20.83mm"	"153.8mm"	"20.83mm"	"153.04mm"	"20.83mm"	"T"	"0"	"1K"
"R45"	"R0603"	"168.66mm"	"86.61mm"	"168.66mm"	"86.61mm"	"168.66mm"	"87.37mm"	"T"	"270"	"1K"
"R46"	"R0603"	"182.12mm"	"90.55mm"	"182.12mm"	"90.55mm"	"181.36mm"	"90.55mm"	"T"	"0"	"1K"
"R47"	"R0603"	"90.42mm"	"68.2mm"	"90.42mm"	"68.2mm"	"90.42mm"	"68.95mm"	"T"	"270"	"10K"
"R48"	"R0603"	"95.57mm"	"68.2mm"	"95.57mm"	"68.2mm"	"95.57mm"	"68.95mm"	"T"	"270"	"10K"
"R49"	"R0603"	"98.14mm"	"68.2mm"	"98.14mm"	"68.2mm"	"98.14mm"	"68.95mm"	"T"	"270"	"10K"
